year,state,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population
2010,AZ,04,380859,764851,1588060,450865,730440,1589033,8423,60966,95794,10481,56804,85404,16062,102276,166720,22412,100309,177583,6407342
2010,CA,06,1484904,4052850,8651359,1905362,3857554,8362111,99766,440787,802913,139103,421873,818141,275615,846954,1891126,368553,807212,2093367,37319550
2010,CO,08,232404,614134,1426480,289554,580168,1391581,6856,45308,77254,8822,42652,66351,7032,41587,78535,9750,42926,86145,5047539
2010,CT,09,196911,372336,889589,269451,353133,907816,12634,71476,115006,19885,68321,130140,4447,25334,54617,5388,25687,57002,3579173
2010,DC,11,11098,18581,98864,12587,19026,97802,16051,40846,87934,27562,41129,104894,692,2172,9736,1115,2462,12731,605282
2010,DE,10,48564,78186,193092,61577,75326,198863,7050,34777,55322,10049,33933,64447,1280,5537,11865,1580,5505,12694,899647
2010,FL,12,1326998,1679542,4364899,1633329,1594006,4416044,108905,537779,888982,155123,519258,977873,23555,87054,194547,30378,85404,222467,18846143
2010,GA,13,348386,843885,1907483,450886,798190,1882285,83358,512930,843861,134849,502514,993482,10648,62850,127949,12891,60171,135591,9712209
2010,HI,15,25217,27490,129143,25394,25685,104827,746,6216,13154,506,5720,7794,60921,140595,279814,83839,132656,294287,1364004
2010,IA,19,190309,383103,842561,255200,364268,830987,2043,25246,29898,2666,23329,25292,1478,12472,23848,1962,12584,23573,3050819
2010,ID,16,88865,229738,432544,103384,218440,426648,214,3885,4532,175,3677,2875,1511,9695,15865,1983,9673,17115,1570819
2010,IL,17,582713,1350951,3083530,789835,1284513,3049264,71744,331070,520568,113357,321868,608858,26021,102022,228491,32323,99891,243526,12840545
2010,IN,18,336369,778993,1694478,450223,741154,1695019,19890,120655,170044,30082,116371,188712,3342,23129,46273,4368,23459,47994,6490555
2010,KS,20,153977,357938,747606,202627,339476,740720,5609,38590,55999,8169,36260,51861,2912,19863,35651,3773,19491,37744,2858266
2010,KY,21,235964,512147,1175363,311747,486887,1188983,11257,64187,106193,17449,61102,106111,1714,10725,21994,2263,11142,23236,4348464
2010,LA,22,184264,370184,902436,240320,352553,888143,50938,251230,407662,77352,244920,458524,3542,16816,37638,4362,16398,37353,4544635
2010,MA,25,349935,676423,1685756,488306,648362,1753372,15708,92440,153570,24402,88606,168852,12848,58564,130945,15380,59577,143394,6566440
2010,MD,24,225451,446449,1105074,297403,424237,1107432,61306,273998,498951,94997,265636,594569,14908,53766,120065,17882,52700,133960,5788784
2010,ME,23,91998,150199,384599,117724,141371,396119,363,5100,5543,331,4705,3871,630,4068,7208,919,4391,8512,1327651
2010,MI,26,525380,1038407,2403753,681407,986468,2405922,53987,254393,397080,82115,244979,450342,10605,56672,104928,12780,55601,112778,9877597
2010,MN,27,288518,605317,1428880,371861,577531,1412164,4968,67863,86983,6416,64392,83530,6289,58693,88131,8280,57800,93318,5310934
2010,MO,29,333678,665293,1511983,435147,632229,1524284,24021,129475,197044,38425,124791,222596,4469,23541,47709,5542,23774,52088,5996089
2010,MS,28,122939,231456,538480,162900,219535,529835,36612,192864,297519,56827,187968,345708,1188,7592,14586,1664,7359,15583,2970615
2010,MT,30,66291,112069,276781,76183,105306,269338,127,1894,2214,104,1580,1178,2021,15270,20591,2718,14933,22132,990730
2010,NC,37,442086,898828,2117605,580068,849924,2123509,76144,346920,592234,121454,336217,688197,10221,65389,120755,13248,64034,127753,9574586
2010,ND,38,41476,76781,193282,53718,72583,178831,99,2597,3474,93,2246,2080,963,9321,13106,1297,9061,13744,674752
2010,NE,31,103247,230592,493501,135593,219869,485461,2385,20113,26652,3236,18953,25415,1203,12027,18408,1642,11799,19495,1829591
2010,NH,33,78354,156151,386587,98392,149357,391646,424,4265,6421,431,3938,4688,833,5489,11035,961,5671,12164,1316807
2010,NJ,34,419390,845258,1977881,584509,798616,1996661,46946,210295,372428,75552,203277,427357,29481,117494,264616,34642,114031,281017,8799451
2010,NM,35,113682,239222,510622,137040,229045,517058,1976,11059,18278,2191,10233,14606,7920,45305,72254,11288,44845,77990,2064614
2010,NV,32,133564,290951,673052,145612,276723,632200,9133,45027,75359,11073,42502,73595,11609,39902,85555,16126,38370,102130,2702483
2010,NY,36,892874,1734412,4261202,1233637,1649149,4311625,129285,535090,972781,221098,519720,1153181,67945,229790,565853,84009,220866,617439,19399956
2010,OH,39,624677,1259696,2901684,843066,1199832,2937336,55474,266529,400829,85209,257748,447926,7831,37183,80260,9701,38317,86151,11539449
